Date Due,kWh Electricity Used,CO2 Emmisions Avoided,Amount Due
1/6/23,466,599,123.15
2/6/23,452,593,123
3/6/23,438,586,122.84
4/6/23,424,580,122.69
5/6/23,411,574,122.53
6/6/23,397,568,122.38
7/6/23,383,561,122.22
8/6/23,369,555,122.06
9/6/23,356,549,121.91
10/6/23,342,543,121.75
11/6/23,328,537,121.6
12/6/23,314,530,121.44
2/6/24,562,734,126.51
3/6/24,517,674,125.02
4/6/24,471,614,123.54
5/6/24,425,554,122.05
6/6/24,380,495,120.56
7/6/24,334,435,119.07
8/6/24,288,375,117.58
9/6/24,242,315,116.1
10/6/24,57,748,110.96
11/6/24,499,651,137.83
12/6/24,477,622,144.61
1/6/25,428,558,103.74
